Service Year,OMH Region Code,OMH Region Label,County Label,Age Group,Rate Code Group,Medicaid Enrollee Count by County,Count of Recipients by Rate Code Group and County,Units Total,Paid Claim Total
2018,1,Western NY,Allegany,Adult,Community Residence,6012,24,155,373036
2018,1,Western NY,Allegany,Adult,"Comprehensive Psychiatric Emergency Program
Non-EOB",6012,0,0,0
2018,1,Western NY,Allegany,Adult,MH Emergency,6012,180,313,45548
2018,1,Western NY,Allegany,Adult,OMH Licensed Clinic Treatment,6012,708,6418,789700
2018,1,Western NY,Allegany,Adult,OMH/OASAS Certified Community Behavioral Health Clinics,6012,30,285,53306
2018,1,Western NY,Allegany,Adult,Personalized Recovery Oriented Services,6012,124,628,503910
2018,1,Western NY,Allegany,Adult,Psych Inpatient 28,6012,76,639,404772
2018,1,Western NY,Allegany,Adult,Psych Inpatient 31,6012,0,0,0
2018,1,Western NY,Allegany,Child,Community Residence,4475,0,0,0
2018,1,Western NY,Allegany,Child,"Comprehensive Psychiatric Emergency Program
Non-EOB",4475,0,0,0
2018,1,Western NY,Allegany,Child,Home and Community Based Services Waiver (HCBS),4475,25,137,284774
2018,1,Western NY,Allegany,Child,MH Emergency,4475,93,128,19709
2018,1,Western NY,Allegany,Child,OMH Children's Day Treatment,4475,0,0,0
2018,1,Western NY,Allegany,Child,OMH Licensed Clinic Treatment,4475,363,2629,345067
2018,1,Western NY,Allegany,Child,OMH/OASAS Certified Community Behavioral Health Clinics,4475,0,0,0
2018,1,Western NY,Allegany,Child,Partial Hospitalization,4475,0,0,0
2018,1,Western NY,Allegany,Child,Psych Inpatient 28,4475,22,207,157743
2018,1,Western NY,Allegany,Child,Psych Inpatient 31,4475,0,0,0
2018,1,Western NY,Allegany,Child,Psych Inpatient SPC,4475,0,0,0
2018,1,Western NY,Allegany,Child,Residential Treatment Facility,4475,0,0,0
2018,1,Western NY,Allegany,Senior,Community Residence,1216,0,0,0
2018,1,Western NY,Allegany,Senior,MH Emergency,1216,0,0,0
2018,1,Western NY,Allegany,Senior,OMH Licensed Clinic Treatment,1216,23,276,21102
2018,1,Western NY,Allegany,Senior,Personalized Recovery Oriented Services,1216,0,0,0
2018,1,Western NY,Allegany,Senior,Psych Inpatient 28,1216,0,0,0
2018,1,Western NY,Cattaraugus,Adult,Assertive Community Treatment,11167,25,80,114502
2018,1,Western NY,Cattaraugus,Adult,Community Residence,11167,52,440,1455467
2018,1,Western NY,Cattaraugus,Adult,"Comprehensive Psychiatric Emergency Program
 EOB",11167,0,0,0
2018,1,Western NY,Cattaraugus,Adult,"Comprehensive Psychiatric Emergency Program
Non-EOB",11167,0,0,0
2018,1,Western NY,Cattaraugus,Adult,Continuing Day Treatment,11167,20,3560,176945
2018,1,Western NY,Cattaraugus,Adult,MH Emergency,11167,350,495,70388
2018,1,Western NY,Cattaraugus,Adult,OMH Licensed Clinic Treatment,11167,1464,12109,1755679
